Module,Priority,Edge Case ID,Scenario,Expected Behavior,Status
Demo Controls,P2,EC-147,"A reviewer needs to observe milestone behaviour without waiting weeks","Route simulation through the real endpoints so shields, milestones and celebrations fire genuinely rather than being mocked at the view layer.",Tested
Demo Controls,P2,EC-148,"The simulated clock is running ahead of real time","Disclose the offset on screen whenever it is non-zero.",Tested
Demo Controls,P2,EC-150,"Non-happy states must be demonstrated on a physical device","Provide a hidden control that cycles normal, slow, offline and failing without requiring airplane mode or a rebuild.",Tested
"## POLISH — P3 — quality improvements with no functional impact",,,,,
Wealth Streak,P3,EC-030,"A partially drained charge indicator is grabbed again","Scale the remaining hold duration to the remaining charge rather than restarting the full interval.",Implemented
Wealth Streak,P3,EC-032,"A contribution succeeds exactly at a milestone boundary","Ease the charge indicator out as settled progress rises to meet it so the ring never appears to move backwards.",Implemented
Future Feed,P3,EC-115,"A two-column grid is rendered on a narrow device","Derive card widths from the measured viewport rather than percentages so the layout never collapses to a single column.",Implemented
Wealth Streak,P3,EC-117,"A screen title is rendered in a horizontally constrained row","Compose the title as a single text node so it cannot wrap and lose part of itself.",Implemented
Future Feed,P3,EC-113,"A carousel slide is touched while auto-advance is pending","Pause on touch and restart the dwell timer after any manual change.",Implemented
Future Feed,P3,EC-114,"A slide is swiped slowly and released with no momentum","Settle the index on both momentum end and drag end so the indicator never lags the visible slide.",Implemented
Future Feed,P3,EC-205,"An auto-advancing slide changes while the user is mid-sentence","Never advance under an active touch, and restart the full dwell interval after any manual interaction.",Implemented
Profile/Menu,P3,EC-206,"The account panel is presented from the header control","Anchor the scale transform to the originating corner so the panel reads as emerging from the control that opened it.",Implemented
Time Machine,P3,EC-207,"Platform blur is weaker on one operating system than the other","Place a solid tint beneath the blur so the panel remains legible where the blur is weak.",Implemented
Time Machine,P3,EC-122,"A new character expression is added to the asset registry","Keep every asset path a static literal so the bundler verifies it at build time.",Implemented
Referral,P3,EC-208,"An invite code is displayed for transcription","Apply wide letter spacing so the code can be read one character at a time.",Implemented
Onboarding,P3,EC-209,"A partially entered phone number is displayed while typing","Format progressively into a five-and-five grouping without altering the stored digits.",Verified
Family Mode,P3,EC-210,"A user wants to share progress with a parent or partner","Family Mode is not built. Scope shared visibility, per-member goals and permission boundaries before any reference to it ships in the interface.",Pending
Family Mode,P3,EC-211,"A shared account has more than one contributor to a single goal","Define contribution attribution and streak ownership for multi-contributor goals before implementation.",Pending
